cohort_month,month_1,month_2,month_3,month_4,month_5,month_6
2024-01,1.2178619756427604,0.6765899864682002,0.9472259810554804,1.0825439783491204,0.5412719891745602,0.6765899864682002
2024-02,0.8241758241758242,0.5494505494505495,0.9615384615384616,0.6868131868131868,1.510989010989011,4.532967032967033
2024-03,1.3297872340425532,1.0638297872340425,0.6648936170212766,0.6648936170212766,3.324468085106383,1.4627659574468086
2024-04,1.0856453558504222,0.24125452352231602,0.6031363088057901,4.945717732207479,2.4125452352231602,1.2062726176115801
2024-05,0.7832898172323759,0.26109660574412535,3.6553524804177546,1.8276762402088773,0.7832898172323759,3.7859007832898173
2024-06,0.655307994757536,3.669724770642202,1.4416775884665793,0.655307994757536,3.5386631716906947,6.553079947575361
2024-07,5.170068027210884,1.6326530612244898,1.3605442176870748,3.4013605442176873,5.442176870748299,0.27210884353741494
2024-08,0.8827238335435058,0.5044136191677175,2.648171500630517,4.791929382093317,0.5044136191677175,0.5044136191677175
2024-09,0.847457627118644,3.248587570621469,7.062146892655368,0.7062146892655368,0.5649717514124294,0.5649717514124294
2024-10,4.139715394566624,5.821474773609314,1.034928848641656,0.517464424320828,0.9055627425614489,0.7761966364812419
2024-11,4.768392370572207,0.544959128065395,0.4087193460490463,0.8174386920980926,1.226158038147139,1.08991825613079
2024-12,0.6747638326585695,0.8097165991902834,1.214574898785425,0.9446693657219973,1.0796221322537112,1.7543859649122806
