date,spend,daily_budget,rolling_7d,severity,campaign_id,campaign_name
2025-02-11,11.981663,8926.22,11.981663,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-02-12,10.595071,8926.22,11.288367000000001,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-02-13,9.771436999999997,8926.22,10.782723666666664,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-02-14,12.856844000000002,8926.22,11.30125375,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-02-15,15.154295999999997,8926.22,12.0718622,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-02-16,14.881209000000002,8926.22,12.540086666666667,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-02-17,8.551568999999999,8926.22,11.970298428571429,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-02-18,13.123601999999996,8926.22,12.133432571428571,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-02-19,12.131251999999996,8926.22,12.352886999999997,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-02-20,10.572062999999998,8926.22,12.467262142857141,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-02-21,11.680484999999997,8926.22,12.299210857142855,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-02-22,14.278373000000002,8926.22,12.174079,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-02-23,15.578740000000002,8926.22,12.273726285714284,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-02-24,10.812284,8926.22,12.59668557142857,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-02-25,12.004996999999998,8926.22,12.436884857142855,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-02-26,11.883752999999997,8926.22,12.401527857142856,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-02-27,10.458027000000003,8926.22,12.385237,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-02-28,11.469593,8926.22,12.35510957142857,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-03-01,18.242487000000004,8926.22,12.921411571428573,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-03-02,17.786047,8926.22,13.236741142857143,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-03-03,11.276795,8926.22,13.303099857142856,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-03-04,10.666946999999999,8926.22,13.111949857142859,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-03-05,11.50854,8926.22,13.058348,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-03-06,11.391233999999999,8926.22,13.191663285714286,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-03-07,10.060887,8926.22,12.990419571428571,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-03-08,16.468984,8926.22,12.737062,Critical,CAM00004,Ross Essentials | Video | Feb 2025
2025-03-09,15.303390000000002,8926.22,12.382396714285715,Critical,CAM00004,Ross Essentials | Video | Feb 2025
