date,spend,revenue
2024-01-01,0.4728469999999999,289.53
2024-01-02,1.3194740000000005,86.21000000000001
2024-01-03,0.983045,125.89
2024-01-04,1.706534,21.18
2024-01-05,3.398081,86.50999999999999
2024-01-06,5.476420999999999,282.95
2024-01-07,5.918254,121.49
2024-01-08,3.5992929999999994,158.63
2024-01-09,3.7491140000000005,160.86
2024-01-10,9.281441000000001,118.43
2024-01-11,9.080170999999998,271.76
2024-01-12,8.616243000000003,252.9
2024-01-13,7.995080000000001,112.11
2024-01-14,10.618448,401.71000000000004
2024-01-15,7.908578999999999,142.73
2024-01-16,6.384642000000001,126.17999999999999
2024-01-17,7.541425000000001,194.56
2024-01-18,8.265032999999999,202.35
2024-01-19,9.736368,32.019999999999996
2024-01-20,15.014142999999997,217.3
2024-01-21,14.509550999999998,142.03
2024-01-22,10.168826000000001,282.57
2024-01-23,11.223949999999999,60.1
2024-01-24,12.949218000000002,170.66
2024-01-25,16.433964000000003,227.23999999999998
2024-01-26,18.782291999999998,147.37
2024-01-27,21.187537000000003,266.27000000000004
2024-01-28,21.872151999999996,416.91
2024-01-29,15.157503,95.37
2024-01-30,17.068208000000002,36.25
2024-01-31,16.724410999999996,381.78000000000003
2024-02-01,16.008862,297.21
2024-02-02,13.432706000000001,140.44
2024-02-03,18.452001,328.83
2024-02-04,21.250372999999996,186.51
2024-02-05,15.562283,116.06
2024-02-06,17.843005999999995,112.12
2024-02-07,17.506134,69.44
2024-02-08,16.818852,209.31
2024-02-09,19.631421999999997,119.85
2024-02-10,23.524332,347.78
2024-02-11,28.165460000000007,276.59000000000003
2024-02-12,22.958008,232.91
2024-02-13,21.404499,74.82
2024-02-14,22.302431999999996,176.96
2024-02-15,21.923473,79.06
2024-02-16,20.548720999999997,121.75
2024-02-17,30.987266000000005,248.16000000000003
2024-02-18,31.253953,251.56
2024-02-19,19.383782999999998,219.03
2024-02-20,19.486637,313.29
2024-02-21,21.401824,48.17
2024-02-22,23.969817000000003,255.16
2024-02-23,22.273038999999997,308.79
2024-02-24,31.831806999999998,261.46
2024-02-25,31.783072,277.93
2024-02-26,24.499457,120.11
2024-02-27,25.436453000000004,245.09
2024-02-28,24.433868,202.53
2024-02-29,25.018682000000002,469.66
2024-03-01,20.940945,185.24
2024-03-02,28.547790000000003,394.72999999999996
2024-03-03,27.659947000000003,293.43
2024-03-04,22.399691000000004,215.01
2024-03-05,20.844099,314.06
2024-03-06,21.887787999999997,208.7
2024-03-07,23.892042000000007,141.85
2024-03-08,24.8403,90.67
2024-03-09,31.409596,269.12
2024-03-10,28.642726000000003,689.1899999999999
2024-03-11,19.402099,193.32999999999998
2024-03-12,23.579929,349.66999999999996
2024-03-13,22.852197,334.07
2024-03-14,24.864252,219.12
2024-03-15,23.163912999999997,163.98000000000002
2024-03-16,31.548810000000007,260.26
2024-03-17,31.868504000000005,237.49
2024-03-18,23.352480999999997,86.35
2024-03-19,21.245693,181.19
2024-03-20,23.837988000000003,258.56
2024-03-21,25.697743,162.65
2024-03-22,23.910394999999994,175.69
2024-03-23,31.607117999999996,279.11
2024-03-24,33.699401,383.43
2024-03-25,24.12062,439.72999999999996
2024-03-26,23.751040000000003,242.54000000000002
2024-03-27,25.790582000000004,99.26
2024-03-28,25.917118000000002,116.64999999999999
2024-03-29,28.726341,128.08
2024-03-30,36.92019799999999,263.41
2024-03-31,38.736791000000004,587.46
2024-04-01,28.078654,140.99
2024-04-02,28.759420999999996,324.17
2024-04-03,27.342589,177.43
2024-04-04,27.462859,191.05
2024-04-05,27.614329,148.73
2024-04-06,33.651373,342.55
2024-04-07,34.46664799999999,274.51
2024-04-08,27.466182,213.55
2024-04-09,26.006045999999998,217.16
2024-04-10,33.754982,178.63
2024-04-11,33.079240999999996,95.38999999999999
2024-04-12,34.43950400000001,402.59
2024-04-13,45.49473199999999,334.79
2024-04-14,44.808338,264.0
2024-04-15,35.904252,245.25
2024-04-16,34.798637,287.36
2024-04-17,29.996775999999997,251.52
2024-04-18,34.533147,320.31
2024-04-19,34.830245000000005,278.88
2024-04-20,42.89342499999999,279.17
2024-04-21,42.331956000000005,593.54
2024-04-22,35.035363,323.88
2024-04-23,30.913647,226.59
2024-04-24,30.009514,261.92
2024-04-25,33.467299,292.05
2024-04-26,34.25664600000001,203.59
2024-04-27,42.93118700000001,326.06
2024-04-28,40.950952,361.67
2024-04-29,32.01664099999999,501.65999999999997
2024-04-30,33.590107,262.08
2024-05-01,34.094632,202.59
2024-05-02,32.293476999999996,359.49
2024-05-03,31.4212,268.8
2024-05-04,43.455632,261.31
2024-05-05,42.27265,386.71
2024-05-06,33.180794999999996,321.45
2024-05-07,33.870313,153.98
2024-05-08,28.239726,344.71000000000004
2024-05-09,34.714457,160.51
2024-05-10,31.156169000000002,299.37
2024-05-11,43.556306,485.67999999999995
2024-05-12,44.74503300000001,276.46999999999997
2024-05-13,29.818986000000002,103.86
2024-05-14,31.967924,221.85
2024-05-15,30.334102999999995,451.27000000000004
2024-05-16,29.850702000000005,185.51
2024-05-17,32.908532,79.0
2024-05-18,45.514565000000005,368.59000000000003
2024-05-19,43.71903900000001,308.39
2024-05-20,28.36929,155.32
2024-05-21,27.644388,140.38
2024-05-22,32.474118,162.97
2024-05-23,28.113978000000007,325.26
2024-05-24,27.403705000000002,161.42000000000002
2024-05-25,37.811784,419.57
2024-05-26,36.357236,456.82
2024-05-27,25.520650000000003,220.52
2024-05-28,24.894499000000003,294.58
2024-05-29,23.123881000000008,278.8
2024-05-30,25.975610999999997,239.8
2024-05-31,24.732517000000005,164.73
2024-06-01,36.199011000000006,302.23
2024-06-02,35.371689,297.84
2024-06-03,28.400809000000002,145.60999999999999
2024-06-04,26.389782,325.5
2024-06-05,26.715348,460.64
2024-06-06,29.828275000000005,391.36
2024-06-07,20.929699999999997,162.82
2024-06-08,30.202251999999994,135.91
2024-06-09,23.429963,386.7
2024-06-10,20.873859000000003,82.09
2024-06-11,21.933280999999997,334.71
2024-06-12,21.624672,247.84
2024-06-13,21.398702999999998,265.09
2024-06-14,20.846473999999997,201.04
2024-06-15,27.972935999999997,484.82
2024-06-16,29.005222,155.57999999999998
2024-06-17,20.505554,210.64
2024-06-18,17.321473,91.69
2024-06-19,22.548654,176.76
2024-06-20,23.855043000000006,581.23
2024-06-21,21.425127,324.89
2024-06-22,26.595337000000004,166.0
2024-06-23,28.622113,439.81
2024-06-24,22.634534000000006,210.8
2024-06-25,20.819503,165.0
2024-06-26,22.44493,218.23000000000002
2024-06-27,23.150230999999998,249.5
